2014-01-01,05:40:00,19:02:00
2014-01-02,05:40:00,19:03:00
2014-01-03,05:41:00,19:03:00
2014-01-04,05:42:00,19:03:00
2014-01-05,05:42:00,19:03:00
2014-01-06,05:43:00,19:04:00
2014-01-07,05:44:00,19:04:00
2014-01-08,05:44:00,19:04:00
2014-01-09,05:45:00,19:04:00
2014-01-10,05:46:00,19:04:00
2014-01-11,05:46:00,19:04:00
2014-01-12,05:47:00,19:05:00
2014-01-13,05:48:00,19:05:00
2014-01-14,05:48:00,19:05:00
2014-01-15,05:49:00,19:05:00
2014-01-16,05:50:00,19:05:00
2014-01-17,05:50:00,19:05:00
2014-01-18,05:51:00,19:05:00
2014-01-19,05:52:00,19:05:00
2014-01-20,05:52:00,19:04:00
2014-01-21,05:53:00,19:04:00
2014-01-22,05:54:00,19:04:00
2014-01-23,05:55:00,19:04:00
2014-01-24,05:55:00,19:04:00
2014-01-25,05:56:00,19:04:00
2014-01-26,05:57:00,19:04:00
2014-01-27,05:57:00,19:03:00
2014-01-28,05:58:00,19:03:00
2014-01-29,05:58:00,19:03:00
2014-01-30,05:59:00,19:02:00
2014-01-31,06:00:00,19:02:00
2014-02-01,06:00:00,19:02:00
2014-02-02,06:01:00,19:01:00
2014-02-03,06:02:00,19:01:00
2014-02-04,06:02:00,19:01:00
2014-02-05,06:03:00,19:00:00
2014-02-06,06:03:00,19:00:00
2014-02-07,06:04:00,18:59:00
2014-02-08,06:05:00,18:59:00
2014-02-09,06:05:00,18:58:00
2014-02-10,06:06:00,18:58:00
2014-02-11,06:06:00,18:57:00
2014-02-12,06:07:00,18:57:00
2014-02-13,06:07:00,18:56:00
2014-02-14,06:08:00,18:56:00
2014-02-15,06:08:00,18:55:00
2014-02-16,06:09:00,18:54:00
2014-02-17,06:09:00,18:54:00
2014-02-18,06:10:00,18:53:00
2014-02-19,06:10:00,18:52:00
2014-02-20,06:11:00,18:52:00
2014-02-21,06:11:00,18:51:00
2014-02-22,06:12:00,18:50:00
2014-02-23,06:12:00,18:50:00
2014-02-24,06:13:00,18:49:00
2014-02-25,06:13:00,18:48:00
2014-02-26,06:13:00,18:47:00
2014-02-27,06:14:00,18:47:00
2014-02-28,06:14:00,18:46:00
2014-03-01,06:15:00,18:45:00
2014-03-02,06:15:00,18:44:00
2014-03-03,06:15:00,18:43:00
2014-03-04,06:16:00,18:43:00
2014-03-05,06:16:00,18:42:00
2014-03-06,06:17:00,18:41:00
2014-03-07,06:17:00,18:40:00
2014-03-08,06:17:00,18:39:00
2014-03-09,06:18:00,18:38:00
2014-03-10,06:18:00,18:38:00
2014-03-11,06:18:00,18:37:00
2014-03-12,06:19:00,18:36:00
2014-03-13,06:19:00,18:35:00
2014-03-14,06:19:00,18:34:00
2014-03-15,06:20:00,18:33:00
2014-03-16,06:20:00,18:32:00
2014-03-17,06:20:00,18:31:00
2014-03-18,06:21:00,18:31:00
2014-03-19,06:21:00,18:30:00
2014-03-20,06:21:00,18:29:00
2014-03-21,06:22:00,18:28:00
2014-03-22,06:22:00,18:27:00
2014-03-23,06:22:00,18:26:00
2014-03-24,06:23:00,18:25:00
2014-03-25,06:23:00,18:24:00
2014-03-26,06:23:00,18:23:00
2014-03-27,06:23:00,18:22:00
2014-03-28,06:24:00,18:22:00
2014-03-29,06:24:00,18:21:00
2014-03-30,06:24:00,18:20:00
2014-03-31,06:25:00,18:19:00
2014-04-01,06:25:00,18:18:00
2014-04-02,06:25:00,18:17:00
2014-04-03,06:25:00,18:16:00
2014-04-04,06:26:00,18:15:00
2014-04-05,06:26:00,18:14:00
2014-04-06,06:26:00,18:14:00
2014-04-07,06:27:00,18:13:00
2014-04-08,06:27:00,18:12:00
2014-04-09,06:27:00,18:11:00
2014-04-10,06:28:00,18:10:00
2014-04-11,06:28:00,18:09:00
2014-04-12,06:28:00,18:09:00
2014-04-13,06:28:00,18:08:00
2014-04-14,06:29:00,18:07:00
2014-04-15,06:29:00,18:06:00
2014-04-16,06:29:00,18:05:00
2014-04-17,06:30:00,18:04:00
2014-04-18,06:30:00,18:04:00
2014-04-19,06:30:00,18:03:00
2014-04-20,06:31:00,18:02:00
2014-04-21,06:31:00,18:01:00
2014-04-22,06:31:00,18:01:00
2014-04-23,06:32:00,18:00:00
2014-04-24,06:32:00,17:59:00
2014-04-25,06:32:00,17:59:00
2014-04-26,06:33:00,17:58:00
2014-04-27,06:33:00,17:57:00
2014-04-28,06:33:00,17:57:00
2014-04-29,06:34:00,17:56:00
2014-04-30,06:34:00,17:55:00
2014-05-01,06:35:00,17:55:00
2014-05-02,06:35:00,17:54:00
2014-05-03,06:35:00,17:54:00
2014-05-04,06:36:00,17:53:00
2014-05-05,06:36:00,17:52:00
2014-05-06,06:36:00,17:52:00
2014-05-07,06:37:00,17:51:00
2014-05-08,06:37:00,17:51:00
2014-05-09,06:38:00,17:50:00
2014-05-10,06:38:00,17:50:00
2014-05-11,06:38:00,17:49:00
2014-05-12,06:39:00,17:49:00
2014-05-13,06:39:00,17:49:00
2014-05-14,06:40:00,17:48:00
2014-05-15,06:40:00,17:48:00
2014-05-16,06:40:00,17:47:00
2014-05-17,06:41:00,17:47:00
2014-05-18,06:41:00,17:47:00
2014-05-19,06:42:00,17:46:00
2014-05-20,06:42:00,17:46:00
2014-05-21,06:43:00,17:46:00
2014-05-22,06:43:00,17:45:00
2014-05-23,06:43:00,17:45:00
2014-05-24,06:44:00,17:45:00
2014-05-25,06:44:00,17:45:00
2014-05-26,06:45:00,17:45:00
2014-05-27,06:45:00,17:44:00
2014-05-28,06:45:00,17:44:00
2014-05-29,06:46:00,17:44:00
2014-05-30,06:46:00,17:44:00
2014-05-31,06:47:00,17:44:00
2014-06-01,06:47:00,17:44:00
2014-06-02,06:47:00,17:44:00
2014-06-03,06:48:00,17:44:00
2014-06-04,06:48:00,17:44:00
2014-06-05,06:49:00,17:44:00
2014-06-06,06:49:00,17:44:00
2014-06-07,06:49:00,17:44:00
2014-06-08,06:50:00,17:44:00
2014-06-09,06:50:00,17:44:00
2014-06-10,06:50:00,17:44:00
2014-06-11,06:51:00,17:44:00
2014-06-12,06:51:00,17:44:00
2014-06-13,06:51:00,17:44:00
2014-06-14,06:52:00,17:44:00
2014-06-15,06:52:00,17:44:00
2014-06-16,06:52:00,17:44:00
2014-06-17,06:52:00,17:45:00
2014-06-18,06:53:00,17:45:00
2014-06-19,06:53:00,17:45:00
2014-06-20,06:53:00,17:45:00
2014-06-21,06:53:00,17:45:00
2014-06-22,06:54:00,17:46:00
2014-06-23,06:54:00,17:46:00
2014-06-24,06:54:00,17:46:00
2014-06-25,06:54:00,17:46:00
2014-06-26,06:54:00,17:47:00
2014-06-27,06:55:00,17:47:00
2014-06-28,06:55:00,17:47:00
2014-06-29,06:55:00,17:47:00
2014-06-30,06:55:00,17:48:00
2014-07-01,06:55:00,17:48:00
2014-07-02,06:55:00,17:48:00
2014-07-03,06:55:00,17:49:00
2014-07-04,06:55:00,17:49:00
2014-07-05,06:55:00,17:49:00
2014-07-06,06:55:00,17:50:00
2014-07-07,06:55:00,17:50:00
2014-07-08,06:55:00,17:50:00
2014-07-09,06:55:00,17:51:00
2014-07-10,06:55:00,17:51:00
2014-07-11,06:55:00,17:52:00
2014-07-12,06:55:00,17:52:00
2014-07-13,06:55:00,17:52:00
2014-07-14,06:54:00,17:53:00
2014-07-15,06:54:00,17:53:00
2014-07-16,06:54:00,17:53:00
